company,ticker
zabka-group-2024-ar-full-year,
verbund-integrated-annual-report-2024-englisch-final-1,VER.VI
amsterdam commodity,ACOMO.AS
arkema,AKE.PA
basf,BAS.DE
20250407_viv_vivendi_urd_en,VIV.PA
acerinox,ACX.MC
en_2024_annualintegratedreport_vandemoortele_1,
veolia_2024_urd,VIE.PA
bam,BAMNB.AS
abn,ABN.AS
barco,BAR.BR
banca generali s.p.a,BGN.MI
aalberts annual report,AALB.AS
24-vub-vyrocna-sprava-eng,
altri,ALTR.LS
annual-report-for-2024-consolidated-pdf,
ariston,ARIS.MI
wordline_urd_2024,WLN.PA
achmea,
aktia,AKTIA.HE
asml,ASML.AS
airbus,AIR.PA
amundi,AMUN.PA
aena,AENA.MC
valeo_2024-universal-registration-document,FR.PA
adidas,ADS.DE
aixtron group,AIXA.DE
millennium,BCP.LS
barclay,BARC.L
atenor,ATEB.BR
wolters_kluwer_2024_annual_report,WKL.AS
acciona,ANA.MC
umg_2024_annual_report,UMG.AS
m6,MMT.PA
akzo,AKZA.AS
ageas,AGS.BR
asr,ASRNL.AS
atea,ATEA.OL
acea,ACE.MI
upm-annual-report-2024,UPM.HE
bank of syprus,BOC.L
amadeus fire,AAD.DE
vpbli_gb2024_en,VPBN.SW
2025_02_25_fy_2024_uniper_annual_report,UN01.DE
aareal bank,ARL.DE
aker,AKER.OL
baco sabadell,SAB.MC
alfen,ALFEN.AS
aeroports,ADP.PA
amadeus it group,AMS.MC
asm,ASM.AS
vattenfall-annual-and-sustainability-report-2024,
avinor,
abinbev,ABI.BR
amplifon,AMP.MI
air liquide,AI.PA
aroundtown,AT1.DE
bank pekao,PEO.WA
cez group,CEZ.PR
austrian post,POST.VI
wacker,WCH.DE
axa,CS.PA
wartsila,WRT1V.HE
adyen,ADYEN.AS
vinci-2024-universal-registration-document,DG.PA
arenz,
abertis,
vestas annual report 2024,VWS.CO
air france,AF.PA
accor_urd,AC.PA
banco commercial,BCP.LS
withsecure_annual_report_2024,WSEC.HE
alliander,
orsted annual report 2024,ORSTED.CO
atria,ATRAV.HE
alk,ALK-B.CO
akso,AKSO.OL
allegro,ALE.WA
axfood,AXFO.ST
santander,SAN.MC
addiko bank,ADKO.VI
alm brand,ALMB.CO
amag,AMAG.VI
wp holding,
asklepios,
vonovia-se_annual-report-2024,VNA.DE
argenx,ARGX.BR
assa abloy,ASSA-B.ST
amg,AMG.AS
barclay ireland,
aib group,A5G.IR
2024-wienerberger-annual-report,WIE.VI
aegon,AGN.AS
bank of ireland,BIRG.IR
annual report 2024_zalando se_en_250503_s,ZAL.DE
autostrade,
deu-ven,
arcadis,ARCAD.AS
allianz group,ALV.DE
